xaxis;amplitud
0,000825;4,65289E+13
0,000828;4,65289E+13
0,00083;4,70756E+13
0,000833;4,65289E+13
0,000835;4,65289E+13
0,000838;4,65289E+13
0,00084;4,65289E+13
0,000843;4,70756E+13
0,000845;4,70756E+13
0,000848;4,70756E+13
0,00085;4,70756E+13
0,000853;4,70756E+13
0,000855;4,76224E+13
0,000858;4,76224E+13
0,00086;4,70756E+13
0,000863;4,65289E+13
0,000865;4,70756E+13
0,000868;4,65289E+13
0,00087;4,70756E+13
0,000873;4,70756E+13
0,000875;4,65289E+13
0,000878;4,70756E+13
0,00088;4,70756E+13
0,000883;4,70756E+13
0,000885;4,70756E+13
0,000888;4,76224E+13
0,00089;4,70756E+13
0,000893;4,70756E+13
0,000895;4,70756E+13
0,000898;4,76224E+13
0,0009;4,70756E+13
0,000903;4,76224E+13
0,000905;4,76224E+13
0,000908;4,70756E+13
0,00091;4,70756E+13
0,000913;4,76224E+13
0,000915;4,70756E+13
0,000918;4,70756E+13
0,00092;4,76224E+13
0,000923;4,76224E+13
0,000925;4,76224E+13
0,000928;4,70756E+13
0,00093;4,76224E+13
0,000933;4,76224E+13
0,000935;4,76224E+13
0,000938;4,76224E+13
0,00094;4,70756E+13
0,000943;4,76224E+13
0,000945;4,70756E+13
0,000948;4,76224E+13
0,00095;4,70756E+13
0,000953;4,76224E+13
0,000955;4,70756E+13
0,000958;4,76224E+13
0,00096;4,76224E+13
0,000963;4,70756E+13
0,000965;4,76224E+13
0,000968;4,70756E+13
0,00097;4,81691E+13
0,000973;4,76224E+13
0,000975;4,81691E+13
0,000978;4,76224E+13
0,00098;4,76224E+13
0,000983;4,76224E+13
0,000985;4,76224E+13
0,000988;4,76224E+13
0,00099;4,76224E+13
0,000993;4,76224E+13
0,000995;4,76224E+13
0,000998;4,81691E+13
1;4,76224E+13
1;4,81691E+13
1,01;4,81691E+13
1,01;4,81691E+13
1,01;4,70756E+13
1,01;4,81691E+13
1,02;4,81691E+13
1,02;4,81691E+13
1,02;4,81691E+13
1,02;4,76224E+13
1,03;4,81691E+13
1,03;4,81691E+13
1,03;4,76224E+13
1,03;4,76224E+13
1,04;4,81691E+13
1,04;4,81691E+13
1,04;4,81691E+13
1,04;4,81691E+13
1,05;4,81691E+13
1,05;4,81691E+13
1,05;4,81691E+13
1,05;4,81691E+13
1,06;4,81691E+13
1,06;4,81691E+13
1,06;4,81691E+13
1,06;4,81691E+13
1,07;4,81691E+13
1,07;4,76224E+13
1,07;4,81691E+13
1,07;4,81691E+13
1,08;4,81691E+13
1,08;4,87158E+13
1,08;4,81691E+13
1,08;4,81691E+13
1,09;4,81691E+13
1,09;4,81691E+13
1,09;4,87158E+13
1,09;4,81691E+13
1,1;4,81691E+13
1,1;4,87158E+13
1,1;4,87158E+13
1,1;4,87158E+13
1,11;4,81691E+13
1,11;4,87158E+13
1,11;4,81691E+13
1,11;4,81691E+13
1,12;4,81691E+13
1,12;4,81691E+13
1,12;4,87158E+13
1,12;4,87158E+13
1,13;4,87158E+13
1,13;4,76224E+13
1,13;4,81691E+13
1,13;4,81691E+13
1,14;4,81691E+13
1,14;4,81691E+13
1,14;4,81691E+13
1,14;4,81691E+13
1,15;4,87158E+13
1,15;4,81691E+13
1,15;4,81691E+13
1,15;4,87158E+13
1,16;4,81691E+13
1,16;4,87158E+13
1,16;4,87158E+13
1,16;4,87158E+13
1,17;4,87158E+13
1,17;4,87158E+13
1,17;4,87158E+13
1,17;4,87158E+13
1,18;4,87158E+13
1,18;4,81691E+13
1,18;4,92626E+13
1,18;4,87158E+13
1,19;4,87158E+13
1,19;4,81691E+13
1,19;4,81691E+13
1,19;4,87158E+13
1,2;4,87158E+13
1,2;4,81691E+13
1,2;4,87158E+13
1,2;4,92626E+13
1,21;4,87158E+13
1,21;4,87158E+13
1,21;4,87158E+13
1,21;4,92626E+13
1,22;4,92626E+13
1,22;4,87158E+13
1,22;4,87158E+13
1,22;4,87158E+13
1,23;4,87158E+13
1,23;4,81691E+13
1,23;4,92626E+13
1,23;4,87158E+13
1,24;4,87158E+13
1,24;4,87158E+13
1,24;4,87158E+13
1,24;4,87158E+13
1,25;4,87158E+13
1,25;4,87158E+13
1,25;4,87158E+13
1,25;4,87158E+13
1,26;4,87158E+13
1,26;4,87158E+13
1,26;4,92626E+13
1,26;4,87158E+13
1,27;4,87158E+13
1,27;4,87158E+13
1,27;4,87158E+13
1,27;4,87158E+13
1,28;4,87158E+13
1,28;4,92626E+13
1,28;4,92626E+13
1,28;4,92626E+13
1,29;4,87158E+13
1,29;4,87158E+13
1,29;4,92626E+13
1,29;4,92626E+13
1,3;4,92626E+13
1,3;4,87158E+13
1,3;4,92626E+13
1,3;4,87158E+13
1,31;4,87158E+13
1,31;4,98093E+13
1,31;4,87158E+13
1,31;4,92626E+13
1,32;4,87158E+13
1,32;4,87158E+13
1,32;4,87158E+13
1,32;4,92626E+13
1,33;4,92626E+13
1,33;4,92626E+13
1,33;4,87158E+13
1,33;4,92626E+13
1,34;4,98093E+13
1,34;4,92626E+13
1,34;4,92626E+13
1,34;4,87158E+13
1,35;4,87158E+13
1,35;4,92626E+13
1,35;4,87158E+13
1,35;4,92626E+13
1,36;4,87158E+13
1,36;4,92626E+13
1,36;4,87158E+13
1,36;4,92626E+13
1,37;4,92626E+13
1,37;4,92626E+13
1,37;4,92626E+13
1,37;4,92626E+13
1,38;4,92626E+13
1,38;4,92626E+13
1,38;4,87158E+13
1,38;4,92626E+13
1,39;4,87158E+13
1,39;4,92626E+13
1,39;4,87158E+13
1,39;4,92626E+13
1,4;4,92626E+13
1,4;4,92626E+13
1,4;4,92626E+13
1,4;4,92626E+13
1,41;4,92626E+13
1,41;4,92626E+13
1,41;4,92626E+13
1,41;4,92626E+13
1,42;4,92626E+13
1,42;4,92626E+13
1,42;4,98093E+13
1,42;4,92626E+13
1,43;4,98093E+13
1,43;4,92626E+13
1,43;4,92626E+13
1,43;4,92626E+13
1,44;4,92626E+13
1,44;4,92626E+13
1,44;4,92626E+13
1,44;4,92626E+13
1,45;4,92626E+13
1,45;4,92626E+13
1,45;4,87158E+13
1,45;4,87158E+13
1,46;4,98093E+13
1,46;4,87158E+13
1,46;4,87158E+13
1,46;4,87158E+13
1,47;4,87158E+13
1,47;4,87158E+13
1,47;4,92626E+13
1,47;4,98093E+13
1,48;4,87158E+13
1,48;4,92626E+13
1,48;4,92626E+13
1,48;4,98093E+13
1,49;4,92626E+13
1,49;4,92626E+13
1,49;4,98093E+13
1,49;4,98093E+13
1,5;4,98093E+13
1,5;4,98093E+13
1,5;4,92626E+13
1,5;4,98093E+13
1,51;4,98093E+13
1,51;4,92626E+13
1,51;4,92626E+13
1,51;4,92626E+13
1,52;4,92626E+13
1,52;4,98093E+13
1,52;4,92626E+13
1,52;4,92626E+13
1,53;4,92626E+13
1,53;4,92626E+13
1,53;4,87158E+13
1,53;4,92626E+13
1,54;4,98093E+13
1,54;4,92626E+13
1,54;4,92626E+13
1,54;4,92626E+13
1,55;4,92626E+13
1,55;4,92626E+13
1,55;4,92626E+13
1,55;4,92626E+13
1,56;4,92626E+13
1,56;4,98093E+13
1,56;4,92626E+13
