,"Actual",,"Model"
"Time","Value","Time","Value"
1519.96,-86.962685,1519.96,0.0
1519.97,-89.863396,1519.97,0.0
1519.98,-91.40851,1519.98,0.0
1519.99,-93.23128,1519.99,0.0
1520.0,-94.64064,1520.0,0.0
1520.01,-96.49122,1520.01,0.0
1520.02,-97.53834,1520.02,0.0
1520.0299,-98.75003,1520.0299,0.0
1520.0399,-99.57147,1520.0399,0.0
1520.0499,-100.82938,1520.0499,0.0
1520.0599,-101.641365,1520.0599,0.0
1520.07,-102.54467,1520.07,0.0
1520.08,-102.716194,1520.08,0.0
1520.09,-103.39414,1520.09,0.0
1520.1,-103.96837,1520.1,0.0
1520.11,-105.27691,1520.11,0.0
1520.12,-105.72198,1520.12,0.0
1520.13,-106.700455,1520.13,0.0
1520.14,-106.50003,1520.14,0.0
1520.15,-107.6107,1520.15,0.0
1520.1599,-108.0963,1520.1599,0.0
1520.1699,-107.99684,1520.1699,0.0
1520.1799,-108.01721,1520.1799,0.0
1520.19,-108.36957,1520.19,0.0
1520.2,-108.29741,1520.2,0.0
1520.21,-109.02525,1520.21,0.0
1520.22,-109.23273,1520.22,0.0
1520.23,-109.19023,1520.23,0.0
1520.24,-109.19893,1520.24,0.0
1520.25,-109.91023,1520.25,0.0
1520.26,-109.05145,1520.26,0.0
1520.27,-109.227356,1520.27,0.0
1520.2799,-109.19133,1520.2799,0.0
1520.2899,-109.91179,1520.2899,0.0
1520.2999,-110.47731,1520.2999,0.0
1520.3099,-110.36148,1520.3099,0.0
1520.32,-110.74173,1520.32,0.0
1520.33,-110.66385,1520.33,0.0
1520.34,-111.3929,1520.34,0.0
1520.35,-111.243576,1520.35,0.0
1520.36,-111.274155,1520.36,0.0
1520.37,-110.19826,1520.37,0.0
1520.38,-110.77516,1520.38,0.0
1520.39,-110.657,1520.39,0.0
1520.4,-110.68121,1520.4,0.0
1520.4099,-110.676254,1520.4099,0.0
1520.4199,-111.39035,1520.4199,0.0
1520.4299,-110.531006,1520.4299,0.0
1520.44,-110.707016,1520.44,0.0
1520.45,-110.67096,1520.45,0.0
1520.46,-110.678345,1520.46,0.0
1520.47,-111.38992,1520.47,0.0
1520.48,-111.24417,1520.48,0.0
1520.49,-111.63057,1520.49,0.0
1520.5,-111.55142,1520.5,0.0
1520.51,-111.56764,1520.51,0.0
1520.52,-111.564316,1520.52,0.0
1520.5299,-111.565,1520.5299,0.0
1520.5399,-111.56485,1520.5399,0.0
1520.5499,-111.20834,1520.5499,0.0
1520.5599,-111.28137,1520.5599,0.0
1520.57,-111.26642,1520.57,0.0
1520.58,-111.26947,1520.58,0.0
