,"Actual",,"Model"
"Time","Value","Time","Value"
19.59,74.03437,19.59,0.0
19.6,74.07231,19.6,0.0
19.609999,74.187225,19.609999,0.0
19.619999,74.22553,19.619999,0.0
19.63,74.2383,19.63,0.0
19.64,74.14029,19.64,0.0
19.65,74.209885,19.65,0.0
19.66,74.233086,19.66,0.0
19.67,74.34308,19.67,0.0
19.68,74.48201,19.68,0.0
19.689999,74.52832,19.689999,0.0
19.699999,74.54376,19.699999,0.0
19.71,74.44664,19.71,0.0
19.72,74.41427,19.72,0.0
19.73,74.40347,19.73,0.0
19.74,74.39988,19.74,0.0
19.75,74.39868,19.75,0.0
19.76,74.39828,19.76,0.0
19.77,74.50041,19.77,0.0
19.779999,74.63672,19.779999,0.0
19.789999,74.579895,19.789999,0.0
19.8,74.56095,19.8,0.0
19.81,74.554634,19.81,0.0
19.82,74.450264,19.82,0.0
19.83,74.51774,19.83,0.0
19.84,74.437965,19.84,0.0
19.85,74.51364,19.85,0.0
19.859999,74.64113,19.859999,0.0
19.869999,74.683624,19.869999,0.0
19.88,74.59553,19.88,0.0
19.89,74.56616,19.89,0.0
19.9,74.45411,19.9,0.0
19.91,74.51902,19.91,0.0
19.92,74.54066,19.92,0.0
19.93,74.4456,19.93,0.0
19.939999,74.51619,19.939999,0.0
19.949999,74.64198,19.949999,0.0
19.96,74.683914,19.96,0.0
19.97,74.59563,19.97,0.0
19.98,74.56619,19.98,0.0
19.99,74.55638,19.99,0.0
20.0,74.553116,20.0,0.0
20.01,74.552025,20.01,0.0
20.02,74.55166,20.02,0.0
20.029999,74.6538,20.029999,0.0
20.039999,74.68785,20.039999,0.0
20.05,74.59694,20.05,0.0
20.06,74.46436,20.06,0.0
20.07,74.52244,20.07,0.0
20.08,74.5418,20.08,0.0
20.09,74.65052,20.09,0.0
20.1,74.68676,20.1,0.0
20.109999,74.69884,20.109999,0.0
20.119999,74.702866,20.119999,0.0
20.13,74.601944,20.13,0.0
20.14,74.5683,20.14,0.0
20.15,74.55708,20.15,0.0
20.16,74.553345,20.16,0.0
20.17,74.654366,20.17,0.0
20.18,74.68804,20.18,0.0
20.189999,74.699265,20.189999,0.0
20.199999,74.703,20.199999,0.0
20.21,74.704254,20.21,0.0
20.22,74.704666,20.22,0.0
20.23,74.60254,20.23,0.0
20.24,74.5685,20.24,0.0
20.25,74.55715,20.25,0.0
20.26,74.55337,20.26,0.0
20.27,74.55211,20.27,0.0
20.279999,74.75622,20.279999,0.0
20.289999,74.82426,20.289999,0.0
20.3,74.74467,20.3,0.0
20.31,74.615875,20.31,0.0
20.32,74.572945,20.32,0.0
20.33,74.55863,20.33,0.0
20.34,71.7927,20.34,0.0
20.35,65.34839,20.35,0.0
20.359999,58.80287,20.359999,0.0
20.369999,52.428154,20.369999,0.0
20.38,46.519424,20.38,0.0
20.39,41.27736,20.39,0.0
20.4,36.46204,20.4,0.0
20.41,32.300297,20.41,0.0
20.42,28.45868,20.42,0.0
20.43,25.030567,20.43,0.0
20.439999,22.047087,20.439999,0.0
20.449999,19.620876,20.449999,0.0
20.46,17.380424,20.46,0.0
20.47,15.201891,20.47,0.0
20.48,13.2485285,20.48,0.0
20.49,11.574755,20.49,0.0
20.5,10.198707,20.5,0.0
20.51,8.921901,20.51,0.0
20.52,7.882706,20.52,0.0
20.529999,6.9227157,20.529999,0.0
20.539999,6.0913916,20.539999,0.0
20.55,5.200691,20.55,0.0
20.56,4.392464,20.56,0.0
20.57,3.7139935,20.57,0.0
20.58,3.1810405,20.58,0.0
20.59,2.594328,20.59,0.0
20.6,2.1942263,20.6,0.0
20.609999,1.6517973,20.609999,0.0
20.619999,1.266457,20.619999,0.0
20.63,0.9334793,20.63,0.0
20.64,0.51569057,20.64,0.0
20.65,0.17189686,20.65,0.0
20.66,0.057298955,20.66,0.0
20.67,0.019099653,20.67,0.0
20.68,0.006366551,20.68,0.0
20.689999,0.0021221838,20.689999,0.0
20.699999,7.073946E-4,20.699999,0.0
20.71,2.3579822E-4,20.71,0.0
20.72,7.8599405E-5,20.72,0.0
20.73,2.6199803E-5,20.73,0.0
20.74,8.733268E-6,20.74,0.0
20.75,2.9110895E-6,20.75,0.0
20.76,9.703632E-7,20.76,0.0
20.77,3.234544E-7,20.77,0.0
20.779999,1.0781814E-7,20.779999,0.0
20.789999,3.593938E-8,20.789999,0.0
20.8,1.1979793E-8,20.8,0.0
20.81,3.9932644E-9,20.81,0.0
20.82,1.3310881E-9,20.82,0.0
20.83,4.4369605E-10,20.83,0.0
20.84,1.478987E-10,20.84,0.0
20.85,4.9299564E-11,20.85,0.0
20.859999,1.6433188E-11,20.859999,0.0
20.869999,5.4777294E-12,20.869999,0.0
20.88,1.8259099E-12,20.88,0.0
20.89,6.086366E-13,20.89,0.0
20.9,2.0287888E-13,20.9,0.0
20.91,6.76263E-14,20.91,0.0
20.92,2.25421E-14,20.92,0.0
20.93,7.5140335E-15,20.93,0.0
20.939999,2.504678E-15,20.939999,0.0
20.949999,8.3489264E-16,20.949999,0.0
20.96,2.7829755E-16,20.96,0.0
20.97,9.276585E-17,20.97,0.0
20.98,3.092195E-17,20.98,0.0
20.99,1.0307317E-17,20.99,0.0
21.0,3.4357724E-18,21.0,0.0
21.01,1.1452575E-18,21.01,0.0
21.02,3.817525E-19,21.02,0.0
21.029999,1.2725084E-19,21.029999,0.0
21.039999,4.241695E-20,21.039999,0.0
21.05,1.4138984E-20,21.05,0.0
21.06,4.712995E-21,21.06,0.0
21.07,1.5709983E-21,21.07,0.0
21.08,5.236661E-22,21.08,0.0
21.09,1.7455538E-22,21.09,0.0
21.1,5.818513E-23,21.1,0.0
21.109999,1.9395045E-23,21.109999,0.0
21.119999,6.465015E-24,21.119999,0.0
21.13,2.155005E-24,21.13,0.0
21.14,7.1833506E-25,21.14,0.0
21.15,2.3944502E-25,21.15,0.0
21.16,7.981501E-26,21.16,0.0
21.17,2.6605006E-26,21.17,0.0
21.18,8.868336E-27,21.18,0.0
21.189999,2.956112E-27,21.189999,0.0
21.199999,9.853707E-28,21.199999,0.0
21.21,3.284569E-28,21.21,0.0
21.22,1.0948564E-28,21.22,0.0
21.23,3.6495214E-29,21.23,0.0
21.24,1.2165072E-29,21.24,0.0
21.25,4.055024E-30,21.25,0.0
21.26,1.3516747E-30,21.26,0.0
21.27,4.5055824E-31,21.27,0.0
21.279999,1.5018608E-31,21.279999,0.0
21.289999,5.006203E-32,21.289999,0.0
21.3,1.6687344E-32,21.3,0.0
21.31,5.562448E-33,21.31,0.0
21.32,1.8541495E-33,21.32,0.0
21.33,6.1804986E-34,21.33,0.0
21.34,2.0601663E-34,21.34,0.0
21.35,6.8672214E-35,21.35,0.0
21.359999,2.2890738E-35,21.359999,0.0
21.369999,7.630246E-36,21.369999,0.0
21.38,2.5434155E-36,21.38,0.0
21.39,8.478052E-37,21.39,0.0
21.4,2.8260174E-37,21.4,0.0
21.41,9.420059E-38,21.41,0.0
21.42,3.1400195E-38,21.42,0.0
21.43,0.0,21.43,0.0
21.439999,0.0,21.439999,0.0
21.449999,0.0,21.449999,0.0
21.46,0.0,21.46,0.0
21.47,0.0,21.47,0.0
21.48,0.0,21.48,0.0
21.49,0.0,21.49,0.0
21.5,0.0,21.5,0.0
21.51,0.0,21.51,0.0
21.52,0.0,21.52,0.0
21.529999,0.0,21.529999,0.0
21.539999,0.0,21.539999,0.0
21.55,0.0,21.55,0.0
21.56,0.0,21.56,0.0
21.57,0.0,21.57,0.0
21.58,0.0,21.58,0.0
21.59,2.8634312,21.59,0.0
21.6,9.237974,21.6,0.0
21.609999,16.06703,21.609999,0.0
21.619999,22.331732,21.619999,0.0
21.63,27.794724,21.63,0.0
21.64,32.683685,21.64,0.0
21.65,37.279037,21.65,0.0
21.66,41.46972,21.66,0.0
21.67,45.11645,21.67,0.0
21.68,48.37734,21.68,0.0
21.689999,51.305077,21.689999,0.0
21.699999,53.81497,21.699999,0.0
21.71,55.878784,21.71,0.0
21.72,57.691647,21.72,0.0
21.73,59.318584,21.73,0.0
21.74,60.781284,21.74,0.0
21.75,62.08698,21.75,0.0
21.76,63.238064,21.76,0.0
21.77,64.23535,21.77,0.0
21.779999,65.283646,21.779999,0.0
21.789999,66.246666,21.789999,0.0
21.8,67.078995,21.8,0.0
21.81,67.7655,21.81,0.0
21.82,68.403404,21.82,0.0
21.83,69.0251,21.83,0.0
21.84,69.53912,21.84,0.0
21.85,70.11953,21.85,0.0
21.859999,70.6198,21.859999,0.0
21.869999,71.093346,21.869999,0.0
21.88,71.45573,21.88,0.0
21.89,71.67879,21.89,0.0
21.9,71.957664,21.9,0.0
21.91,72.15289,21.91,0.0
21.92,72.4225,21.92,0.0
21.93,72.61464,21.93,0.0
21.939999,72.780945,21.939999,0.0
21.949999,73.04092,21.949999,0.0
21.96,73.3321,21.96,0.0
21.97,73.53143,21.97,0.0
21.98,73.59788,21.98,0.0
21.99,73.620026,21.99,0.0
22.0,73.72967,22.0,0.0
22.01,73.86848,22.01,0.0
22.02,74.01701,22.02,0.0
22.029999,73.96426,22.029999,0.0
22.039999,74.04894,22.039999,0.0
22.05,74.2817,22.05,0.0
22.06,74.35928,22.06,0.0
22.07,74.38515,22.07,0.0
22.08,74.39377,22.08,0.0
22.09,74.396645,22.09,0.0
22.1,74.3976,22.1,0.0
22.109999,74.39792,22.109999,0.0
22.119999,74.50029,22.119999,0.0
22.13,74.53442,22.13,0.0
22.14,74.54579,22.14,0.0
22.15,74.65185,22.15,0.0
22.16,74.58494,22.16,0.0
22.17,74.56263,22.17,0.0
22.18,74.5552,22.18,0.0
22.189999,74.65498,22.189999,0.0
22.199999,74.58598,22.199999,0.0
22.21,74.665245,22.21,0.0
22.22,74.691666,22.22,0.0
22.23,74.598206,22.23,0.0
22.24,74.567055,22.24,0.0
22.25,74.55667,22.25,0.0
22.26,74.55321,22.26,0.0
22.269999,74.552055,22.269999,0.0
22.279999,74.551674,22.279999,0.0
22.289999,74.75607,22.289999,0.0
22.3,74.8242,22.3,0.0
22.31,74.64239,22.31,0.0
22.32,74.684044,22.32,0.0
22.33,74.595665,22.33,0.0
22.34,74.56621,22.34,0.0
22.35,74.65865,22.35,0.0
22.359999,74.68947,22.359999,0.0
22.369999,74.69974,22.369999,0.0
22.38,74.80543,22.38,0.0
22.39,74.84066,22.39,0.0
22.4,74.75014,22.4,0.0
22.41,74.6177,22.41,0.0
22.42,74.67582,22.42,0.0
22.43,74.69519,22.43,0.0
22.439999,74.80391,22.439999,0.0
22.449999,74.737885,22.449999,0.0
22.46,74.818146,22.46,0.0
22.47,74.844894,22.47,0.0
22.48,74.85381,22.48,0.0
22.49,74.754524,22.49,0.0
22.5,74.72143,22.5,0.0
22.51,74.710396,22.51,0.0
22.519999,74.80898,22.519999,0.0
22.529999,74.84184,22.529999,0.0
22.539999,74.8528,22.539999,0.0
