,"Actual",,"Model"
"Time","Value","Time","Value"
3.3799999,166.95503,3.3799999,0.0
3.3899999,167.42291,3.3899999,0.0
3.3999999,167.32709,3.3999999,0.0
3.4099998,166.78667,3.4099998,0.0
3.4199998,167.4574,3.4199998,0.0
3.4299998,166.75998,3.4299998,0.0
3.4399998,166.90282,3.4399998,0.0
3.4499998,166.87357,3.4499998,0.0
3.46,166.87955,3.46,0.0
3.47,166.87833,3.47,0.0
3.48,166.87859,3.48,0.0
3.49,166.87852,3.49,0.0
3.5,166.87854,3.5,0.0
3.51,167.43858,3.51,0.0
3.52,167.32387,3.52,0.0
3.53,167.34737,3.53,0.0
3.54,166.78252,3.54,0.0
3.55,166.89821,3.55,0.0
3.56,167.43456,3.56,0.0
3.57,166.76465,3.57,0.0
3.58,166.90186,3.58,0.0
3.59,167.4338,3.59,0.0
3.6,166.7648,3.6,0.0
3.61,166.90182,3.61,0.0
3.62,166.87376,3.62,0.0
3.6299999,167.43956,3.6299999,0.0
3.6399999,166.76363,3.6399999,0.0
3.6499999,167.46211,3.6499999,0.0
3.6599998,166.759,3.6599998,0.0
3.6699998,166.90302,3.6699998,0.0
3.6799998,166.87352,3.6799998,0.0
3.6899998,166.87956,3.6899998,0.0
3.6999998,167.43837,3.6999998,0.0
3.7099998,166.76387,3.7099998,0.0
3.72,167.46207,3.72,0.0
3.73,167.31906,3.73,0.0
3.74,167.34836,3.74,0.0
3.75,167.34235,3.75,0.0
3.76,167.34358,3.76,0.0
3.77,166.78328,3.77,0.0
3.78,167.45808,3.78,0.0
3.79,167.31987,3.79,0.0
3.8,166.78815,3.8,0.0
3.81,166.89705,3.81,0.0
3.82,167.43478,3.82,0.0
3.83,167.32465,3.83,0.0
3.84,167.90727,3.84,0.0
3.85,167.22787,3.85,0.0
3.86,167.36703,3.86,0.0
3.87,167.33853,3.87,0.0
3.8799999,167.34436,3.8799999,0.0
3.8899999,166.78313,3.8899999,0.0
3.8999999,167.45811,3.8999999,0.0
3.9099998,167.31987,3.9099998,0.0
3.9199998,166.78815,3.9199998,0.0
3.9299998,167.45709,3.9299998,0.0
3.9399998,167.32008,3.9399998,0.0
3.9499998,167.34814,3.9499998,0.0
3.9599998,143.82024,3.9599998,0.0
3.97,104.955185,3.97,0.0
3.98,73.7119,3.98,0.0
3.99,45.947987,3.99,0.0
4.0,19.151592,4.0,0.0
4.0099998,-4.9922347,4.0099998,0.0
4.02,-25.36144,4.02,0.0
4.0299997,-39.016426,4.0299997,0.0
4.04,-50.481216,4.04,0.0
4.0499997,-62.038063,4.0499997,0.0
4.06,-73.57605,4.06,0.0
4.0699997,-82.97865,4.0699997,0.0
4.08,-92.4621,4.08,0.0
4.0899997,-101.57244,4.0899997,0.0
4.1,-108.26343,4.1,0.0
4.11,-114.02379,4.11,0.0
4.12,-119.97475,4.12,0.0
4.13,-125.173584,4.13,0.0
4.14,-128.0307,4.14,0.0
4.15,-131.36745,4.15,0.0
4.16,-135.67557,4.16,0.0
4.17,-138.71512,4.17,0.0
4.18,-142.37105,4.18,0.0
4.19,-144.11803,4.19,0.0
4.2,-146.96907,4.2,0.0
4.21,-149.23743,4.21,0.0
4.22,-150.91206,4.22,0.0
4.23,-153.06485,4.23,0.0
4.24,-154.76315,4.24,0.0
4.25,-155.48494,4.25,0.0
4.2599998,-157.11978,4.2599998,0.0
4.27,-157.1415,4.27,0.0
4.2799997,-158.20665,4.2799997,0.0
4.29,-159.7712,4.29,0.0
4.2999997,-161.23344,4.2999997,0.0
4.31,-161.29048,4.31,0.0
4.3199997,-162.34842,4.3199997,0.0
4.33,-163.5579,4.33,0.0
4.3399997,-164.37979,4.3399997,0.0
4.35,-164.568,4.35,0.0
4.36,-165.24252,4.36,0.0
4.37,-165.4609,4.37,0.0
4.38,-165.41618,4.38,0.0
4.39,-165.42534,4.39,0.0
4.4,-165.42346,4.4,0.0
4.41,-166.85,4.41,0.0
4.42,-166.91437,4.42,0.0
4.43,-166.90118,4.43,0.0
4.44,-167.61696,4.44,0.0
4.45,-167.47035,4.45,0.0
4.46,-167.85693,4.46,0.0
4.47,-168.49083,4.47,0.0
4.48,-168.361,4.48,0.0
4.49,-168.74413,4.49,0.0
4.5,-168.30911,4.5,0.0
4.5099998,-168.75475,4.5099998,0.0
4.52,-168.66347,4.52,0.0
4.5299997,-168.68217,4.5299997,0.0
4.54,-168.67833,4.54,0.0
4.5499997,-168.67912,4.5499997,0.0
4.56,-169.39204,4.56,0.0
4.5699997,-169.24603,4.5699997,0.0
4.58,-169.98901,4.58,0.0
4.5899997,-169.83684,4.5899997,0.0
4.6,-169.868,4.6,0.0
4.61,-169.86162,4.61,0.0
4.62,-169.14986,4.62,0.0
4.63,-169.29564,4.63,0.0
4.64,-169.97885,4.64,0.0
4.65,-169.83891,4.65,0.0
4.66,-169.86758,4.66,0.0
4.67,-169.86171,4.67,0.0
4.68,-169.86292,4.68,0.0
4.69,-169.86266,4.69,0.0
4.7,-170.21925,4.7,0.0
4.71,-169.78967,4.71,0.0
4.72,-169.87766,4.72,0.0
4.73,-169.85963,4.73,0.0
4.74,-169.86333,4.74,0.0
4.75,-169.86258,4.75,0.0
4.7599998,-169.86273,4.7599998,0.0
4.77,-169.8627,4.77,0.0
4.7799997,-169.8627,4.7799997,0.0
4.79,-170.21924,4.79,0.0
4.7999997,-170.14621,4.7999997,0.0
4.81,-170.16118,4.81,0.0
4.8199997,-169.80157,4.8199997,0.0
4.83,-169.87523,4.83,0.0
4.8399997,-169.86014,4.8399997,0.0
4.85,-169.86324,4.85,0.0
4.8599997,-169.8626,4.8599997,0.0
4.87,-169.86273,4.87,0.0
